Dim	0
R	1
G	2
B	3
Dim	7
R	8
G	9
B	10
Pan	14
PanF	15
Tilt	16
TiltF	17
Col	18
Gob	19
Stb	20
Dim	21
Spd	22
Aut	23
Ax	24
Stp	25
Pan	26
PanF	27
Tilt	28
TiltF	29
Col	30
Gob	31
Stb	32
Dim	33
Spd	34
Aut	35
Ax	36
Stp	37
